"Y","date"
15136,1980-01-01
16733,1980-02-01
20016,1980-03-01
17708,1980-04-01
18019,1980-05-01
19227,1980-06-01
22893,1980-07-01
23739,1980-08-01
21133,1980-09-01
22591,1980-10-01
26786,1980-11-01
29740,1980-12-01
15028,1981-01-01
17977,1981-02-01
20008,1981-03-01
21354,1981-04-01
19498,1981-05-01
22125,1981-06-01
25817,1981-07-01
28779,1981-08-01
20960,1981-09-01
22254,1981-10-01
27392,1981-11-01
29945,1981-12-01
16933,1982-01-01
17892,1982-02-01
20533,1982-03-01
23569,1982-04-01
22417,1982-05-01
22084,1982-06-01
26580,1982-07-01
27454,1982-08-01
24081,1982-09-01
23451,1982-10-01
28991,1982-11-01
31386,1982-12-01
16896,1983-01-01
20045,1983-02-01
23471,1983-03-01
21747,1983-04-01
25621,1983-05-01
23859,1983-06-01
25500,1983-07-01
30998,1983-08-01
24475,1983-09-01
23145,1983-10-01
29701,1983-11-01
34365,1983-12-01
17556,1984-01-01
22077,1984-02-01
25702,1984-03-01
22214,1984-04-01
26886,1984-05-01
23191,1984-06-01
27831,1984-07-01
35406,1984-08-01
23195,1984-09-01
25110,1984-10-01
30009,1984-11-01
36242,1984-12-01
18450,1985-01-01
21845,1985-02-01
26488,1985-03-01
22394,1985-04-01
28057,1985-05-01
25451,1985-06-01
24872,1985-07-01
33424,1985-08-01
24052,1985-09-01
28449,1985-10-01
33533,1985-11-01
37351,1985-12-01
19969,1986-01-01
21701,1986-02-01
26249,1986-03-01
24493,1986-04-01
24603,1986-05-01
26485,1986-06-01
30723,1986-07-01
34569,1986-08-01
26689,1986-09-01
26157,1986-10-01
32064,1986-11-01
38870,1986-12-01
21337,1987-01-01
19419,1987-02-01
23166,1987-03-01
28286,1987-04-01
24570,1987-05-01
24001,1987-06-01
33151,1987-07-01
24878,1987-08-01
26804,1987-09-01
28967,1987-10-01
33311,1987-11-01
40226,1987-12-01
20504,1988-01-01
23060,1988-02-01
23562,1988-03-01
27562,1988-04-01
23940,1988-05-01
24584,1988-06-01
34303,1988-07-01
25517,1988-08-01
23494,1988-09-01
29095,1988-10-01
32903,1988-11-01
34379,1988-12-01
16991,1989-01-01
21109,1989-02-01
23740,1989-03-01
25552,1989-04-01
21752,1989-05-01
20294,1989-06-01
29009,1989-07-01
25500,1989-08-01
24166,1989-09-01
26960,1989-10-01
31222,1989-11-01
38641,1989-12-01
14672,1990-01-01
17543,1990-02-01
25453,1990-03-01
32683,1990-04-01
22449,1990-05-01
22316,1990-06-01
27595,1990-07-01
25451,1990-08-01
25421,1990-09-01
25288,1990-10-01
32568,1990-11-01
35110,1990-12-01
16052,1991-01-01
22146,1991-02-01
21198,1991-03-01
19543,1991-04-01
22084,1991-05-01
23816,1991-06-01
29961,1991-07-01
26773,1991-08-01
26635,1991-09-01
26972,1991-10-01
30207,1991-11-01
38687,1991-12-01
16974,1992-01-01
21697,1992-02-01
24179,1992-03-01
23757,1992-04-01
25013,1992-05-01
24019,1992-06-01
30345,1992-07-01
24488,1992-08-01
25156,1992-09-01
25650,1992-10-01
30923,1992-11-01
37240,1992-12-01
17466,1993-01-01
19463,1993-02-01
24352,1993-03-01
26805,1993-04-01
25236,1993-05-01
24735,1993-06-01
29356,1993-07-01
31234,1993-08-01
22724,1993-09-01
28496,1993-10-01
32857,1993-11-01
37198,1993-12-01
13652,1994-01-01
22784,1994-02-01
23565,1994-03-01
26323,1994-04-01
23779,1994-05-01
27549,1994-06-01
29660,1994-07-01
23356,1994-08-01
